geoid,name,B08105A001,"B08105A001, Error",B08105A002,"B08105A002, Error",B08105A003,"B08105A003, Error",B08105A004,"B08105A004, Error",B08105A005,"B08105A005, Error",B08105A006,"B08105A006, Error",B08105A007,"B08105A007, Error"
14000US06037113235,"Census Tract 1132.35, Los Angeles, CA",704,107,503,78,126,67,0,12,5,6,5,8,65,37
14000US06037113237,"Census Tract 1132.37, Los Angeles, CA",1166,228,849,198,36,39,12,16,0,12,154,177,115,53
14000US06037113301,"Census Tract 1133.01, Los Angeles, CA",871,175,694,159,72,55,35,30,17,21,10,14,43,31
14000US06037113303,"Census Tract 1133.03, Los Angeles, CA",1428,231,1032,212,131,107,45,38,7,12,85,50,128,77
14000US06037113321,"Census Tract 1133.21, Los Angeles, CA",1890,325,1604,319,70,67,26,31,24,42,110,122,56,46
14000US06037113322,"Census Tract 1133.22, Los Angeles, CA",1353,209,1093,202,53,38,19,21,27,33,78,67,83,56
14000US06037113401,"Census Tract 1134.01, Los Angeles, CA",1145,204,972,187,88,56,24,26,26,60,0,17,35,31
14000US06037113421,"Census Tract 1134.21, Los Angeles, CA",1129,255,919,220,59,48,65,51,30,26,11,18,45,37
14000US06037113422,"Census Tract 1134.22, Los Angeles, CA",1747,407,1297,308,229,141,59,86,17,29,118,109,27,29
14000US06037115101,"Census Tract 1151.01, Los Angeles, CA",1520,192,1283,197,78,48,31,44,0,17,56,61,72,47
14000US06037115103,"Census Tract 1151.03, Los Angeles, CA",566,137,167,78,16,17,35,30,264,67,38,29,46,39
14000US06037115104,"Census Tract 1151.04, Los Angeles, CA",1339,266,817,173,68,66,101,100,108,76,117,81,128,113
14000US06037115201,"Census Tract 1152.01, Los Angeles, CA",2177,380,1469,311,109,103,98,80,358,163,57,64,86,74
14000US06037115202,"Census Tract 1152.02, Los Angeles, CA",1725,273,1373,264,98,58,62,57,99,56,26,43,67,47
14000US06037115301,"Census Tract 1153.01, Los Angeles, CA",1278,213,930,177,97,83,49,44,27,24,82,64,93,47
14000US06037115302,"Census Tract 1153.02, Los Angeles, CA",869,190,581,132,20,19,95,60,54,38,85,60,34,27
14000US06037115401,"Census Tract 1154.01, Los Angeles, CA",1614,259,1311,240,94,57,46,46,29,27,67,59,67,49
14000US06037115403,"Census Tract 1154.03, Los Angeles, CA",714,184,504,138,10,15,74,59,10,13,38,37,78,67
14000US06037115404,"Census Tract 1154.04, Los Angeles, CA",675,247,402,146,37,35,51,59,11,19,125,151,49,46
14000US06037117101,"Census Tract 1171.01, Los Angeles, CA",662,205,479,165,55,59,46,52,3,7,41,62,38,42
14000US06037117102,"Census Tract 1171.02, Los Angeles, CA",758,155,650,144,32,25,0,12,10,15,17,19,49,30
14000US06037117201,"Census Tract 1172.01, Los Angeles, CA",670,168,586,172,16,20,35,39,0,12,21,32,12,18
14000US06037117202,"Census Tract 1172.02, Los Angeles, CA",532,154,397,135,47,31,17,19,0,12,38,39,33,22
14000US06037117301,"Census Tract 1173.01, Los Angeles, CA",1149,141,924,156,84,48,10,17,0,12,3,8,128,63
14000US06037117302,"Census Tract 1173.02, Los Angeles, CA",1332,248,1066,243,127,65,21,25,0,17,48,51,70,41
14000US06037117303,"Census Tract 1173.03, Los Angeles, CA",723,181,518,138,34,33,29,26,22,31,59,61,61,51
14000US06037117404,"Census Tract 1174.04, Los Angeles, CA",1421,266,1122,266,125,82,41,42,0,12,6,14,127,74
14000US06037117405,"Census Tract 1174.05, Los Angeles, CA",503,189,398,169,8,14,92,67,1,3,0,12,4,8
