Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A14007_001,SE_A14007_002,SE_A14007_003,SE_A14007_004,SE_A14007_005,SE_A14007_006,SE_A14007_007,SE_A14007_008,SE_A14007_009,SE_A14007_010
"06037540201","14000US06037540201","Census Tract 5402.01","Census Tract 5402.01, Los Angeles County, California","ca","140","00","ACSSF","0005526",,,,,"06","037",,,,"540201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34500,35417,,,,,31125,,34321,
"06037540202","14000US06037540202","Census Tract 5402.02","Census Tract 5402.02, Los Angeles County, California","ca","140","00","ACSSF","0005527",,,,,"06","037",,,,"540202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38842,37056,42566,,,,46094,,39420,
"06037540203","14000US06037540203","Census Tract 5402.03","Census Tract 5402.03, Los Angeles County, California","ca","140","00","ACSSF","0005528",,,,,"06","037",,,,"540203",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45167,53333,38250,,,,36394,,48099,
"06037540300","14000US06037540300","Census Tract 5403","Census Tract 5403, Los Angeles County, California","ca","140","00","ACSSF","0005529",,,,,"06","037",,,,"540300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60625,58171,,,,,63911,,59803,66250
"06037540400","14000US06037540400","Census Tract 5404","Census Tract 5404, Los Angeles County, California","ca","140","00","ACSSF","0005530",,,,,"06","037",,,,"540400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48988,65139,41190,,,,47647,,53125,
"06037540501","14000US06037540501","Census Tract 5405.01","Census Tract 5405.01, Los Angeles County, California","ca","140","00","ACSSF","0005531",,,,,"06","037",,,,"540501",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56196,56447,45688,,,,58850,,57556,
"06037540502","14000US06037540502","Census Tract 5405.02","Census Tract 5405.02, Los Angeles County, California","ca","140","00","ACSSF","0005532",,,,,"06","037",,,,"540502",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35987,32500,22625,,,,50352,,40743,
"06037540600","14000US06037540600","Census Tract 5406","Census Tract 5406, Los Angeles County, California","ca","140","00","ACSSF","0005533",,,,,"06","037",,,,"540600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32449,43462,24792,,,,,,42250,
"06037540700","14000US06037540700","Census Tract 5407","Census Tract 5407, Los Angeles County, California","ca","140","00","ACSSF","0005534",,,,,"06","037",,,,"540700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43068,44932,40694,,,,63902,,55333,
"06037540800","14000US06037540800","Census Tract 5408","Census Tract 5408, Los Angeles County, California","ca","140","00","ACSSF","0005535",,,,,"06","037",,,,"540800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65371,66977,64833,,,,58646,,65488,
