Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A00001_001,SE_A03001_001,SE_A03001_002,SE_A03001_003,SE_A03001_004,SE_A03001_005,SE_A03001_006,SE_A03001_007,SE_A03001_008,PCT_SE_A03001_002,PCT_SE_A03001_003,PCT_SE_A03001_004,PCT_SE_A03001_005,PCT_SE_A03001_006,PCT_SE_A03001_007,PCT_SE_A03001_008,SE_A04001_001,SE_A04001_002,SE_A04001_003,SE_A04001_004,SE_A04001_005,SE_A04001_006,SE_A04001_007,SE_A04001_008,SE_A04001_009,SE_A04001_010,SE_A04001_011,SE_A04001_012,SE_A04001_013,SE_A04001_014,SE_A04001_015,SE_A04001_016,SE_A04001_017,PCT_SE_A04001_002,PCT_SE_A04001_003,PCT_SE_A04001_004,PCT_SE_A04001_005,PCT_SE_A04001_006,PCT_SE_A04001_007,PCT_SE_A04001_008,PCT_SE_A04001_009,PCT_SE_A04001_010,PCT_SE_A04001_011,PCT_SE_A04001_012,PCT_SE_A04001_013,PCT_SE_A04001_014,PCT_SE_A04001_015,PCT_SE_A04001_016,PCT_SE_A04001_017,SE_A12001_001,SE_A12001_002,SE_A12001_003,SE_A12001_004,SE_A12001_005,SE_A12001_006,SE_A12001_007,SE_A12001_008,PCT_SE_A12001_002,PCT_SE_A12001_003,PCT_SE_A12001_004,PCT_SE_A12001_005,PCT_SE_A12001_006,PCT_SE_A12001_007,PCT_SE_A12001_008,SE_A14006_001,SE_A10060_001,SE_A10060_002,SE_A10060_003,PCT_SE_A10060_002,PCT_SE_A10060_003,SE_A09001_001,SE_A09001_002,SE_A09001_003,SE_A09001_004,SE_A09001_005,SE_A09001_006,SE_A09001_007,SE_A09001_008,SE_A09001_009,SE_A09001_010,PCT_SE_A09001_002,PCT_SE_A09001_003,PCT_SE_A09001_004,PCT_SE_A09001_005,PCT_SE_A09001_006,PCT_SE_A09001_007,PCT_SE_A09001_008,PCT_SE_A09001_009,PCT_SE_A09001_010
"06037211922","14000US06037211922","Census Tract 2119.22","Census Tract 2119.22, Los Angeles County, California","ca","140","00","ACSSF","0004465",,,,,"06","037",,,,"211922",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3522,3522,1096,161,33,1404,0,788,40,31.12,4.57,0.94,39.86,0,22.37,1.14,3522,1792,212,161,33,1386,0,0,0,1730,884,0,0,18,0,788,40,50.88,6.02,4.57,0.94,39.35,0,0,0,49.12,25.1,0,0,0.51,0,22.37,1.14,2531,784,377,529,652,155,8,26,30.98,14.9,20.9,25.76,6.12,0.32,1.03,47778,1318,16,1302,1.21,98.79,1935,1886,41,236,353,711,302,154,89,49,97.47,2.12,12.2,18.24,36.74,15.61,7.96,4.6,2.53
"06037212101","14000US06037212101","Census Tract 2121.01","Census Tract 2121.01, Los Angeles County, California","ca","140","00","ACSSF","0004466",,,,,"06","037",,,,"212101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3165,3165,788,571,10,1386,0,234,176,24.9,18.04,0.32,43.79,0,7.39,5.56,3165,2348,277,509,0,1386,0,0,176,817,511,62,10,0,0,234,0,74.19,8.75,16.08,0,43.79,0,0,5.56,25.81,16.15,1.96,0.32,0,0,7.39,0,2346,414,503,465,680,187,82,15,17.65,21.44,19.82,28.99,7.97,3.5,0.64,52652,1426,104,1322,7.29,92.71,1881,1801,70,251,441,611,254,145,29,80,95.75,3.72,13.34,23.44,32.48,13.5,7.71,1.54,4.25
"06037212102","14000US06037212102","Census Tract 2121.02","Census Tract 2121.02, Los Angeles County, California","ca","140","00","ACSSF","0004467",,,,,"06","037",,,,"212102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2301,2301,451,369,37,1037,43,338,26,19.6,16.04,1.61,45.07,1.87,14.69,1.13,2301,1728,259,350,37,1014,43,8,17,573,192,19,0,23,0,330,9,75.1,11.26,15.21,1.61,44.07,1.87,0.35,0.74,24.9,8.34,0.83,0,1,0,14.34,0.39,1661,247,352,527,357,118,44,16,14.87,21.19,31.73,21.49,7.1,2.65,0.96,27333,1160,10,1150,0.86,99.14,1126,1076,74,222,154,325,203,74,24,50,95.56,6.57,19.72,13.68,28.86,18.03,6.57,2.13,4.44
"06037212202","14000US06037212202","Census Tract 2122.02","Census Tract 2122.02, Los Angeles County, California","ca","140","00","ACSSF","0004468",,,,,"06","037",,,,"212202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3484,3484,923,112,0,669,0,1780,0,26.49,3.21,0,19.2,0,51.09,0,3484,937,156,112,0,669,0,0,0,2547,767,0,0,0,0,1780,0,26.89,4.48,3.21,0,19.2,0,0,0,73.11,22.01,0,0,0,0,51.09,0,2432,1036,607,255,413,99,19,3,42.6,24.96,10.49,16.98,4.07,0.78,0.12,36236,1215,18,1197,1.48,98.52,1891,1838,73,334,320,531,294,191,95,53,97.2,3.86,17.66,16.92,28.08,15.55,10.1,5.02,2.8
"06037212203","14000US06037212203","Census Tract 2122.03","Census Tract 2122.03, Los Angeles County, California","ca","140","00","ACSSF","0004469",,,,,"06","037",,,,"212203",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2978,2978,697,129,0,740,25,1315,72,23.4,4.33,0,24.85,0.84,44.16,2.42,2978,1110,161,123,0,740,25,19,42,1868,536,6,0,0,0,1296,30,37.27,5.41,4.13,0,24.85,0.84,0.64,1.41,62.73,18,0.2,0,0,0,43.52,1.01,2102,1204,338,185,295,51,29,0,57.28,16.08,8.8,14.03,2.43,1.38,0,22938,1473,0,1473,0,100,1561,1512,45,184,128,598,200,275,82,49,96.86,2.88,11.79,8.2,38.31,12.81,17.62,5.25,3.14
"06037212204","14000US06037212204","Census Tract 2122.04","Census Tract 2122.04, Los Angeles County, California","ca","140","00","ACSSF","0004470",,,,,"06","037",,,,"212204",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3383,3383,970,274,13,608,0,1475,43,28.67,8.1,0.38,17.97,0,43.6,1.27,3383,1013,131,252,13,608,0,0,9,2370,839,22,0,0,0,1475,34,29.94,3.87,7.45,0.38,17.97,0,0,0.27,70.06,24.8,0.65,0,0,0,43.6,1.01,2279,1033,549,326,245,33,49,44,45.33,24.09,14.3,10.75,1.45,2.15,1.93,28708,1255,25,1230,1.99,98.01,1641,1564,43,198,171,493,369,216,74,77,95.31,2.62,12.07,10.42,30.04,22.49,13.16,4.51,4.69
"06037212303","14000US06037212303","Census Tract 2123.03","Census Tract 2123.03, Los Angeles County, California","ca","140","00","ACSSF","0004471",,,,,"06","037",,,,"212303",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3966,3966,1193,285,0,751,0,1622,115,30.08,7.19,0,18.94,0,40.9,2.9,3966,1293,189,276,0,751,0,17,60,2673,1004,9,0,0,0,1605,55,32.6,4.77,6.96,0,18.94,0,0.43,1.51,67.4,25.32,0.23,0,0,0,40.47,1.39,2679,1049,511,409,527,123,48,12,39.16,19.07,15.27,19.67,4.59,1.79,0.45,34400,1520,4,1516,0.26,99.74,2201,2088,102,341,302,563,457,193,130,113,94.87,4.63,15.49,13.72,25.58,20.76,8.77,5.91,5.13
"06037212304","14000US06037212304","Census Tract 2123.04","Census Tract 2123.04, Los Angeles County, California","ca","140","00","ACSSF","0004472",,,,,"06","037",,,,"212304",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1817,1817,536,68,13,239,8,915,38,29.5,3.74,0.72,13.15,0.44,50.36,2.09,1817,582,245,68,7,239,8,0,15,1235,291,0,6,0,0,915,23,32.03,13.48,3.74,0.39,13.15,0.44,0,0.83,67.97,16.02,0,0.33,0,0,50.36,1.27,1214,471,115,356,210,47,15,0,38.8,9.47,29.32,17.3,3.87,1.24,0,29479,805,4,801,0.5,99.5,956,925,66,116,86,243,250,137,27,31,96.76,6.9,12.13,9,25.42,26.15,14.33,2.82,3.24
"06037212305","14000US06037212305","Census Tract 2123.05","Census Tract 2123.05, Los Angeles County, California","ca","140","00","ACSSF","0004473",,,,,"06","037",,,,"212305",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3126,3126,634,144,64,593,0,1631,60,20.28,4.61,2.05,18.97,0,52.18,1.92,3126,944,126,144,40,593,0,6,35,2182,508,0,24,0,0,1625,25,30.2,4.03,4.61,1.28,18.97,0,0.19,1.12,69.8,16.25,0,0.77,0,0,51.98,0.8,2064,860,554,227,368,51,4,0,41.67,26.84,11,17.83,2.47,0.19,0,36250,1046,12,1034,1.15,98.85,1543,1488,21,177,104,621,326,161,78,55,96.44,1.36,11.47,6.74,40.25,21.13,10.43,5.06,3.56
"06037212306","14000US06037212306","Census Tract 2123.06","Census Tract 2123.06, Los Angeles County, California","ca","140","00","ACSSF","0004474",,,,,"06","037",,,,"212306",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3366,3366,628,46,65,1463,0,1051,113,18.66,1.37,1.93,43.46,0,31.22,3.36,3366,1671,120,46,28,1463,0,0,14,1695,508,0,37,0,0,1051,99,49.64,3.57,1.37,0.83,43.46,0,0,0.42,50.36,15.09,0,1.1,0,0,31.22,2.94,2431,698,762,339,513,103,0,16,28.71,31.35,13.94,21.1,4.24,0,0.66,41162,1191,68,1123,5.71,94.29,1802,1768,56,427,163,502,383,162,75,34,98.11,3.11,23.7,9.05,27.86,21.25,8.99,4.16,1.89
"06037212410","14000US06037212410","Census Tract 2124.10","Census Tract 2124.10, Los Angeles County, California","ca","140","00","ACSSF","0004475",,,,,"06","037",,,,"212410",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4378,4378,545,288,52,1857,0,1522,114,12.45,6.58,1.19,42.42,0,34.76,2.6,4378,2412,216,288,0,1831,0,11,66,1966,329,0,52,26,0,1511,48,55.09,4.93,6.58,0,41.82,0,0.25,1.51,44.91,7.51,0,1.19,0.59,0,34.51,1.1,3320,1019,560,639,841,141,99,21,30.69,16.87,19.25,25.33,4.25,2.98,0.63,43278,1713,23,1690,1.34,98.66,2679,2474,86,394,282,753,469,409,81,205,92.35,3.21,14.71,10.53,28.11,17.51,15.27,3.02,7.65
"06037212420","14000US06037212420","Census Tract 2124.20","Census Tract 2124.20, Los Angeles County, California","ca","140","00","ACSSF","0004476",,,,,"06","037",,,,"212420",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3539,3539,484,212,31,1143,13,1579,77,13.68,5.99,0.88,32.3,0.37,44.62,2.18,3539,1568,124,212,31,1120,13,18,50,1971,360,0,0,23,0,1561,27,44.31,3.5,5.99,0.88,31.65,0.37,0.51,1.41,55.69,10.17,0,0,0.65,0,44.11,0.76,2404,804,544,459,454,100,26,17,33.44,22.63,19.09,18.89,4.16,1.08,0.71,35031,1227,109,1118,8.88,91.12,1883,1715,66,224,216,646,341,174,48,168,91.08,3.51,11.9,11.47,34.31,18.11,9.24,2.55,8.92
"06037212501","14000US06037212501","Census Tract 2125.01","Census Tract 2125.01, Los Angeles County, California","ca","140","00","ACSSF","0004477",,,,,"06","037",,,,"212501",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1912,1912,560,136,6,521,0,652,37,29.29,7.11,0.31,27.25,0,34.1,1.94,1912,971,290,126,6,521,0,0,28,941,270,10,0,0,0,652,9,50.78,15.17,6.59,0.31,27.25,0,0,1.46,49.22,14.12,0.52,0,0,0,34.1,0.47,1475,349,215,362,394,138,12,5,23.66,14.58,24.54,26.71,9.36,0.81,0.34,38538,955,42,913,4.4,95.6,1186,1102,0,201,153,461,154,108,25,84,92.92,0,16.95,12.9,38.87,12.98,9.11,2.11,7.08
"06037212502","14000US06037212502","Census Tract 2125.02","Census Tract 2125.02, Los Angeles County, California","ca","140","00","ACSSF","0004478",,,,,"06","037",,,,"212502",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2589,2589,595,183,0,1169,0,505,137,22.98,7.07,0,45.15,0,19.51,5.29,2589,1814,352,183,0,1160,0,0,119,775,243,0,0,9,0,505,18,70.07,13.6,7.07,0,44.8,0,0,4.6,29.93,9.39,0,0,0.35,0,19.51,0.7,1989,282,326,397,674,201,97,12,14.18,16.39,19.96,33.89,10.11,4.88,0.6,46910,1211,92,1119,7.6,92.4,1669,1602,103,534,279,354,183,89,60,67,95.99,6.17,32,16.72,21.21,10.96,5.33,3.59,4.01
"06037212610","14000US06037212610","Census Tract 2126.10","Census Tract 2126.10, Los Angeles County, California","ca","140","00","ACSSF","0004479",,,,,"06","037",,,,"212610",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3896,3896,759,166,0,2164,0,692,115,19.48,4.26,0,55.54,0,17.76,2.95,3896,2865,452,166,0,2164,0,17,66,1031,307,0,0,0,0,675,49,73.54,11.6,4.26,0,55.54,0,0.44,1.69,26.46,7.88,0,0,0,0,17.33,1.26,3191,509,663,647,1045,288,34,5,15.95,20.78,20.28,32.75,9.03,1.07,0.16,39920,1783,329,1454,18.45,81.55,2038,1943,73,459,418,481,316,139,57,95,95.34,3.58,22.52,20.51,23.6,15.51,6.82,2.8,4.66
"06037212620","14000US06037212620","Census Tract 2126.20","Census Tract 2126.20, Los Angeles County, California","ca","140","00","ACSSF","0004480",,,,,"06","037",,,,"212620",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4230,4230,647,119,49,1635,0,1612,168,15.3,2.81,1.16,38.65,0,38.11,3.97,4230,2223,322,110,0,1635,0,8,148,2007,325,9,49,0,0,1604,20,52.55,7.61,2.6,0,38.65,0,0.19,3.5,47.45,7.68,0.21,1.16,0,0,37.92,0.47,3026,851,666,468,828,205,8,0,28.12,22.01,15.47,27.36,6.77,0.26,0,39375,1836,149,1687,8.12,91.88,2376,2326,78,494,445,522,315,402,70,50,97.9,3.28,20.79,18.73,21.97,13.26,16.92,2.95,2.1
"06037212701","14000US06037212701","Census Tract 2127.01","Census Tract 2127.01, Los Angeles County, California","ca","140","00","ACSSF","0004481",,,,,"06","037",,,,"212701",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2389,2389,476,294,0,1387,0,197,35,19.92,12.31,0,58.06,0,8.25,1.47,2389,1843,160,280,0,1387,0,0,16,546,316,14,0,0,0,197,19,77.15,6.7,11.72,0,58.06,0,0,0.67,22.85,13.23,0.59,0,0,0,8.25,0.8,1714,375,428,374,448,71,13,5,21.88,24.97,21.82,26.14,4.14,0.76,0.29,43750,810,316,494,39.01,60.99,1076,1061,53,219,279,299,102,109,0,15,98.61,4.93,20.35,25.93,27.79,9.48,10.13,0,1.39
"06037212702","14000US06037212702","Census Tract 2127.02","Census Tract 2127.02, Los Angeles County, California","ca","140","00","ACSSF","0004482",,,,,"06","037",,,,"212702",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3684,3684,945,311,5,1958,0,379,86,25.65,8.44,0.14,53.15,0,10.29,2.33,3684,3162,762,303,5,1958,0,48,86,522,183,8,0,0,0,331,0,85.83,20.68,8.22,0.14,53.15,0,1.3,2.33,14.17,4.97,0.22,0,0,0,8.98,0,2975,204,434,810,1088,224,144,71,6.86,14.59,27.23,36.57,7.53,4.84,2.39,72273,1458,717,741,49.18,50.82,2148,1944,88,302,485,457,530,82,0,204,90.5,4.1,14.06,22.58,21.28,24.67,3.82,0,9.5
"06037212800","14000US06037212800","Census Tract 2128","Census Tract 2128, Los Angeles County, California","ca","140","00","ACSSF","0004483",,,,,"06","037",,,,"212800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3778,3778,1388,486,30,888,0,764,222,36.74,12.86,0.79,23.5,0,20.22,5.88,3778,2152,579,464,11,888,0,12,198,1626,809,22,19,0,0,752,24,56.96,15.33,12.28,0.29,23.5,0,0.32,5.24,43.04,21.41,0.58,0.5,0,0,19.9,0.64,2718,523,476,720,732,155,77,35,19.24,17.51,26.49,26.93,5.7,2.83,1.29,48125,1477,580,897,39.27,60.73,2019,1779,8,241,267,668,336,226,33,240,88.11,0.4,11.94,13.22,33.09,16.64,11.19,1.63,11.89
